MinMAP,MaxMAP,MinTemp,MaxTemp,MinDI,MaxDI,DF
0,19,107,9999,0,49,21
0,19,107,9999,50,99,19
0,19,107,9999,100,149,18
0,19,107,9999,150,199,17
0,19,107,9999,200,249,15
0,19,107,9999,250,299,14
0,19,107,9999,300,349,13
0,19,107,9999,350,399,11
0,19,107,9999,400,449,10
0,19,107,9999,450,499,9
0,19,107,9999,500,549,7
0,19,107,9999,550,639,5
0,19,107,9999,640,699,3
0,19,107,9999,700,759,2
0,19,107,9999,760,799,1
0,19,107,9999,800,9999,0
0,19,104,106,0,49,18
0,19,104,106,50,99,17
0,19,104,106,100,149,15
0,19,104,106,150,199,14
0,19,104,106,200,249,13
0,19,104,106,250,299,12
0,19,104,106,300,349,11
0,19,104,106,350,399,10
0,19,104,106,400,449,8
0,19,104,106,450,499,7
0,19,104,106,500,549,6
0,19,104,106,550,639,5
0,19,104,106,640,699,3
0,19,104,106,700,759,2
0,19,104,106,760,799,1
0,19,104,106,800,9999,0
0,19,101,103,0,49,15
0,19,101,103,50,99,14
0,19,101,103,100,149,13
0,19,101,103,150,199,12
0,19,101,103,200,249,11
0,19,101,103,250,299,10
0,19,101,103,300,349,9
0,19,101,103,350,399,8
0,19,101,103,400,449,7
0,19,101,103,450,499,6
0,19,101,103,500,549,5
0,19,101,103,550,639,4
0,19,101,103,640,699,2
0,19,101,103,700,759,1
0,19,101,103,760,799,1
0,19,101,103,800,9999,0
0,19,98,100,0,49,13
0,19,98,100,50,99,12
0,19,98,100,100,149,11
0,19,98,100,150,199,11
0,19,98,100,200,249,10
0,19,98,100,250,299,9
0,19,98,100,300,349,8
0,19,98,100,350,399,7
0,19,98,100,400,449,6
0,19,98,100,450,499,5
0,19,98,100,500,549,5
0,19,98,100,550,639,3
0,19,98,100,640,699,2
0,19,98,100,700,759,1
0,19,98,100,760,799,1
0,19,98,100,800,9999,0
0,19,95,97,0,49,11
0,19,95,97,50,99,10
0,19,95,97,100,149,10
0,19,95,97,150,199,9
0,19,95,97,200,249,8
0,19,95,97,250,299,8
0,19,95,97,300,349,7
0,19,95,97,350,399,6
0,19,95,97,400,449,5
0,19,95,97,450,499,5
0,19,95,97,500,549,4
0,19,95,97,550,639,3
0,19,95,97,640,699,2
0,19,95,97,700,759,1
0,19,95,97,760,799,1
0,19,95,97,800,9999,0
0,19,92,94,0,49,9
0,19,92,94,50,99,9
0,19,92,94,100,149,8
0,19,92,94,150,199,8
0,19,92,94,200,249,7
0,19,92,94,250,299,6
0,19,92,94,300,349,6
0,19,92,94,350,399,5
0,19,92,94,400,449,5
0,19,92,94,450,499,4
0,19,92,94,500,549,3
0,19,92,94,550,639,3
0,19,92,94,640,699,2
0,19,92,94,700,759,1
0,19,92,94,760,799,0
0,19,92,94,800,9999,0
0,19,89,91,0,49,8
0,19,89,91,50,99,8
0,19,89,91,100,149,7
0,19,89,91,150,199,7
0,19,89,91,200,249,6
0,19,89,91,250,299,5
0,19,89,91,300,349,5
0,19,89,91,350,399,4
0,19,89,91,400,449,4
0,19,89,91,450,499,3
0,19,89,91,500,549,3
0,19,89,91,550,639,2
0,19,89,91,640,699,1
0,19,89,91,700,759,1
0,19,89,91,760,799,0
0,19,89,91,800,9999,0
0,19,86,88,0,49,7
0,19,86,88,50,99,6
0,19,86,88,100,149,6
0,19,86,88,150,199,6
0,19,86,88,200,249,5
0,19,86,88,250,299,5
0,19,86,88,300,349,4
0,19,86,88,350,399,4
0,19,86,88,400,449,3
0,19,86,88,450,499,3
0,19,86,88,500,549,2
0,19,86,88,550,639,2
0,19,86,88,640,699,1
0,19,86,88,700,759,1
0,19,86,88,760,799,0
0,19,86,88,800,9999,0
0,19,83,85,0,49,6
0,19,83,85,50,99,5
0,19,83,85,100,149,5
0,19,83,85,150,199,5
0,19,83,85,200,249,4
0,19,83,85,250,299,4
0,19,83,85,300,349,4
0,19,83,85,350,399,3
0,19,83,85,400,449,3
0,19,83,85,450,499,2
0,19,83,85,500,549,2
0,19,83,85,550,639,2
0,19,83,85,640,699,1
0,19,83,85,700,759,1
0,19,83,85,760,799,0
0,19,83,85,800,9999,0
0,19,80,82,0,49,5
0,19,80,82,50,99,5
0,19,80,82,100,149,4
0,19,80,82,150,199,4
0,19,80,82,200,249,4
0,19,80,82,250,299,3
0,19,80,82,300,349,3
0,19,80,82,350,399,3
0,19,80,82,400,449,2
0,19,80,82,450,499,2
0,19,80,82,500,549,2
0,19,80,82,550,639,1
0,19,80,82,640,699,1
0,19,80,82,700,759,1
0,19,80,82,760,799,0
0,19,80,82,800,9999,0
0,19,77,79,0,49,4
0,19,77,79,50,99,4
0,19,77,79,100,149,4
0,19,77,79,150,199,3
0,19,77,79,200,249,3
0,19,77,79,250,299,3
0,19,77,79,300,349,3
0,19,77,79,350,399,2
0,19,77,79,400,449,2
0,19,77,79,450,499,2
0,19,77,79,500,549,1
0,19,77,79,550,639,1
0,19,77,79,640,699,1
0,19,77,79,700,759,1
0,19,77,79,760,799,0
0,19,77,79,800,9999,0
0,19,74,76,0,49,3
0,19,74,76,50,99,3
0,19,74,76,100,149,3
0,19,74,76,150,199,3
0,19,74,76,200,249,3
0,19,74,76,250,299,2
0,19,74,76,300,349,2
0,19,74,76,350,399,2
0,19,74,76,400,449,2
0,19,74,76,450,499,1
0,19,74,76,500,549,1
0,19,74,76,550,639,1
0,19,74,76,640,699,1
0,19,74,76,700,759,1
0,19,74,76,760,799,0
0,19,74,76,800,9999,0
0,19,71,73,0,49,3
0,19,71,73,50,99,3
0,19,71,73,100,149,2
0,19,71,73,150,199,2
0,19,71,73,200,249,2
0,19,71,73,250,299,2
0,19,71,73,300,349,2
0,19,71,73,350,399,2
0,19,71,73,400,449,1
0,19,71,73,450,499,1
0,19,71,73,500,549,1
0,19,71,73,550,639,1
0,19,71,73,640,699,1
0,19,71,73,700,759,1
0,19,71,73,760,799,0
0,19,71,73,800,9999,0
0,19,68,70,0,49,2
0,19,68,70,50,99,2
0,19,68,70,100,149,2
0,19,68,70,150,199,2
0,19,68,70,200,249,2
0,19,68,70,250,299,2
0,19,68,70,300,349,1
0,19,68,70,350,399,1
0,19,68,70,400,449,1
0,19,68,70,450,499,1
0,19,68,70,500,549,1
0,19,68,70,550,639,1
0,19,68,70,640,699,1
0,19,68,70,700,759,0
0,19,68,70,760,799,0
0,19,68,70,800,9999,0
0,19,65,67,0,49,2
0,19,65,67,50,99,2
0,19,65,67,100,149,2
0,19,65,67,150,199,2
0,19,65,67,200,249,1
0,19,65,67,250,299,1
0,19,65,67,300,349,1
0,19,65,67,350,399,1
0,19,65,67,400,449,1
0,19,65,67,450,499,1
0,19,65,67,500,549,1
0,19,65,67,550,639,1
0,19,65,67,640,699,1
0,19,65,67,700,759,0
0,19,65,67,760,799,0
0,19,65,67,800,9999,0
0,19,62,64,0,49,1
0,19,62,64,50,99,1
0,19,62,64,100,149,1
0,19,62,64,150,199,1
0,19,62,64,200,249,1
0,19,62,64,250,299,1
0,19,62,64,300,349,1
0,19,62,64,350,399,1
